fidelity,noise,seed,model,model_label,drift_delta,ambiguous_accuracy,test_accuracy,path_contrast,directed_contrast,spearman_drift,spearman_bifurc
0.75,0.25,1000,Additive,Additive,-0.4471635150166852,0.5922,0.8929001203369434,0.44951481987955066,4.240447318553924,0.6271585682055505,0.4957796844555519
0.75,0.25,1000,Joint,Token-Time,-0.532035595105673,0.5974,0.8712394705174489,0.697203199006617,5.299816686287523,0.8135864677689225,0.789981309406296
0.75,0.25,1001,Additive,Additive,-0.6159663865546219,0.5562,0.9133663366336634,0.4338694686690969,7.737143577800856,0.7740423471760887,0.6558360640778903
0.75,0.25,1001,Joint,Token-Time,-0.6978991596638656,0.5932,0.8849009900990099,0.2075271747178502,10.001445316606096,0.8199119290681741,0.7109055460437039
0.75,0.25,1002,Additive,Additive,-0.5521889400921658,0.538,0.8895859473023839,-0.2658568453043699,4.780614370107651,0.8551615751091818,0.7124408133301829
0.75,0.25,1002,Joint,Token-Time,-0.5910138248847927,0.59,0.877038895859473,0.10476003674557433,7.079893900081515,0.9239993569089544,0.836494593390802
0.75,0.25,1003,Additive,Additive,-0.5977272727272727,0.5918,0.8910891089108911,-0.017474671424780652,3.8402352210444715,0.8974976964297655,0.8056423677068082
0.75,0.25,1003,Joint,Token-Time,-0.5071428571428572,0.6094,0.8898514851485149,0.008721701412772287,3.2115587060236273,0.867309597075882,0.7765933201792323
0.75,0.25,1004,Additive,Additive,-0.6336206896551724,0.5668,0.8735632183908046,0.5885584373692319,6.283819331181427,0.92103502946921,0.8485451314552478
0.75,0.25,1004,Joint,Token-Time,-0.5851293103448276,0.5906,0.8352490421455939,0.6047275213022081,2.5885548706329065,0.8668767315108162,0.798907987773803
0.75,0.25,1005,Additive,Additive,-0.6427419354838708,0.5692,0.8814627994955864,-0.7711028389632704,4.463567980006337,0.9006483502756859,0.8205838699436407
0.75,0.25,1005,Joint,Token-Time,-0.5496975806451612,0.637,0.8461538461538461,-0.6235891723539679,3.61455866470933,0.9340167374237891,0.833326579763451
0.75,0.25,1006,Additive,Additive,-0.6234126984126984,0.586,0.8823529411764706,0.02890475725548125,2.9072695887751063,0.8913461196576599,0.8158759286327557
0.75,0.25,1006,Joint,Token-Time,-0.552116402116402,0.6022,0.8657289002557544,-0.0007808927556554046,0.5814653850264015,0.8690386210255909,0.7188205049888226
0.75,0.25,1007,Additive,Additive,-0.5520202020202019,0.5968,0.8646616541353384,-0.3481781216338278,2.783873836696147,0.9487053508741423,0.8478102139088772
0.75,0.25,1007,Joint,Token-Time,-0.5597643097643099,0.6372,0.843358395989975,-0.7086549289524555,4.452242399752141,0.6885192594196597,0.6379724681493875
0.75,0.25,1008,Additive,Additive,-0.6090659340659341,0.5686,0.8940886699507389,0.09643896669149399,2.3165789283812046,0.8560398512133528,0.842019990472018
0.75,0.25,1008,Joint,Token-Time,-0.6560439560439562,0.5976,0.8891625615763546,1.1318751547485588,4.926237886399031,0.878454868949498,0.80261727162512
0.75,0.25,1009,Additive,Additive,-0.64002849002849,0.611,0.862796833773087,-1.0417687294502107,3.444774085803637,0.9433794251872563,0.8652956252339681
0.75,0.25,1009,Joint,Token-Time,-0.4894586894586893,0.6492,0.8601583113456465,-0.39162863826467853,1.7555645674703602,0.8835461877740312,0.8490614445438514
0.75,0.25,1010,Additive,Additive,-0.6427339901477832,0.6106,0.8762626262626263,-0.42907504219975756,4.057212872637644,0.9208358333333756,0.8418387911589491
0.75,0.25,1010,Joint,Token-Time,-0.6312807881773398,0.6068,0.8762626262626263,-0.6025279720003405,7.632272513376343,0.8228342487784864,0.7388924838540973
0.75,0.25,1011,Additive,Additive,-0.6458620689655172,0.5844,0.8740554156171285,-0.7825092461167111,6.305354729294779,0.968095968544793,0.895586437375918
0.75,0.25,1011,Joint,Token-Time,-0.6119540229885057,0.5702,0.871536523929471,-0.9317281472807131,5.335564663012821,0.9333220196741427,0.901333885471867
